Subject: fw : ena origination track
- - - - - original message - - - - -
from : buckley , karen
sent : tuesday , october 30 , 2001 6 : 16 pm
to : robinson , mitch ; duran , w . david ; tricoli , carl ; bills , lisa ; mcmichael jr . , ed ; gaskill , chris ; smith , george f . ; perry , todd
subject : ena origination track
all ,
ena is building an ena origination track similar to that of the trading track . originators on both the gas & power side at the vp level have bought into the development of this program . the management of the program will be the originators themselves under louise kitchen . there will be structured rotations for the analysts & associates who join this program with a clear objective in mind - final rotation will be in origination .
the below people , according to our records , are currently in your groups . these candidates have been identified as they have completed at least one relevant rotation and / or have performed well in the previous prc . prior to contacting the below analysts & associates , i want to ensure your buy - in / recommendation of these candidates . all selected candidates would be formally interviewed by the origination management team ( both gas & power ) prior to joining the program .
i would be grateful for your early response as we are looking to schedule a date in november to commence interviews .
if you have any questions , please let me know and i will be happy to explain the program in greater detail .
kind regards ,
karen
ena - hr
x 54667
associate / analyst current manager
james marks mitchell robinson
john lang dave duran
kristin quinn carl tricoli
gregory martin carl tricoli
jonathan hoff lloyd miller
marcus edmonds lisa bills
brian kille lisa bills
alejandro hernandez ed mcmichael
loftus fitwater ed mcmichael
santiago garcia ed mcmichael
catalina cardens chris gaskill
sachin gandhi chris gaskill
justin o ' malley chris gaskill
michael olsen george smith
jeffrey oh todd perry
